genotype,s_r vs. LibA_pre
[000000000],0.0
[000000001],-4.051139552325251
[000000010],-1.7422937028209897
[000000011],-5.673134782257793
[000000100],-0.7718745947299732
[000000101],-3.4037115320648303
[000000110],-1.350861529069638
[000000111],-7.16305559755709
[000001000],-4.145005824642602
[000001001],-8.129185563786324
[000001010],-3.073822872056998
[000001011],-6.142068037091717
[000001100],-2.4881724443515987
[000001101],-4.871986682709014
[000001110],-2.8742086647881235
[000001111],-6.66078768643883
[000010000],-0.022693088578427556
[000010001],-5.20498147359063
[000010010],-0.7272102673078882
[000010011],-5.84581068100952
[000010100],-1.1217460149727696
[000010101],-4.707805644709516
[000010110],-2.084147046179999
[000010111],-7.598506953060655
[000011000],-4.12967617969707
[000011001],-7.102658777285959
[000011010],-2.4043115962020103
[000011011],-4.0074001975647455
[000011100],-1.1873509950300052
[000011101],-3.138291833671856
[000011110],-1.359984699464213
[000011111],-6.344468979993811
[000100000],-0.5323380667348525
[000100001],-6.1091012007430825
[000100010],-1.5413523503205704
[000100011],-6.252134006602271
[000100100],-1.2438687194271427
[000100101],-5.05329344761854
[000100110],-3.199239806748047
[000100111],-8.277302594820181
[000101000],-3.870045995437229
[000101001],-8.13663969854817
[000101010],-1.2989975529271391
[000101011],-5.450668346887744
[000101100],-0.9240366627963057
[000101101],-4.6007996159186355
[000101110],-1.2640143559766832
[000101111],-6.552338110362677
[000110000],-0.03963469641515216
[000110001],-5.7683842149061455
[000110010],-0.956469338266916
[000110011],-5.903380532830997
[000110100],-1.3143834005975654
[000110101],-5.411592082991017
[000110110],-3.703591469707167
[000110111],-7.903732948668597
[000111000],-4.229143765240536
[000111001],-7.383804332994322
[000111010],-1.7077019713285024
[000111011],-5.590471688633988
[000111100],-0.9336916772712669
[000111101],-4.638772617657598
[000111110],-1.6468072430137715
[000111111],-7.211421165771065
[001000000],-2.2265896374740164
[001000001],-5.692091534357482
[001000010],-5.750384299828078
[001000011],-7.647705014108897
[001000100],-4.019581119876342
[001000101],-6.451469593244465
[001000110],-3.026072413377333
[001000111],-7.410394029748742
[001001000],-6.192619341522523
[001001001],-7.317444616876151
[001001010],-5.398172256277514
[001001011],-7.397230800172151
[001001100],-4.621365957298001
[001001101],-6.468678273450971
[001001110],-5.786144264243305
[001001111],-7.276308914337959
[001010000],-1.9979973888176712
[001010001],-6.236353527267054
[001010010],-5.351454831487551
[001010011],-8.2413131812156
[001010100],-4.092804198078698
[001010101],-6.742498092323915
[001010110],-2.9143725450493703
[001010111],-7.95145084368833
[001011000],-5.358710307999228
[001011001],-7.473326324863578
[001011010],-5.5135893673615275
[001011011],-7.306011191254121
[001011100],-5.0763417722547715
[001011101],-6.191163490492823
[001011110],-5.29950461722812
[001011111],-6.952283545922179
[001100000],-1.9435065955759607
[001100001],-6.649123243474066
[001100010],-4.947123387702542
[001100011],-7.535230066942345
[001100100],-3.020541530348044
[001100101],-7.867248727556076
[001100110],-3.529035262904552
[001100111],-8.776634478775062
[001101000],-5.580959667011081
[001101001],-7.533096838735214
[001101010],-5.693787970259187
[001101011],-7.131794104646311
[001101100],-5.0477760522126776
[001101101],-7.314407637770385
[001101110],-5.992651797788065
[001101111],-7.830566394052014
[001110000],-3.074704434068601
[001110001],-7.303904915571236
[001110010],-6.477890728166152
[001110011],-7.527052325572604
[001110100],-5.984277225026569
[001110101],-8.588214076279707
[001110110],-7.2065823828943465
[001110111],-7.180225932104206
[001111000],nan
[001111001],-7.460280694504592
[001111010],-6.5101153678468044
[001111011],-8.06410559032853
[001111100],nan
[001111101],-7.806179190854704
[001111110],-6.5085061408238705
[001111111],-6.875079075434417
[010000000],-2.1562585057131334
[010000001],-5.634086626724711
[010000010],-5.722588040892725
[010000011],-7.497963928812403
[010000100],-4.473540333464641
[010000101],-6.784642870104807
[010000110],-2.939521228168307
[010000111],-7.0551588274949255
[010001000],-5.639385196081822
[010001001],-7.199766052843775
[010001010],-5.77471475932579
[010001011],-7.781078237659937
[010001100],-5.4271495740069
[010001101],-6.333371387170654
[010001110],-4.99522722568161
[010001111],-6.793622869002706
[010010000],-1.9634492784885418
[010010001],-5.734566088164683
[010010010],-5.296560913542478
[010010011],-6.983345818037423
[010010100],-3.868535966941856
[010010101],-6.493528345750402
[010010110],-2.9181335450604853
[010010111],-7.6381025671810105
[010011000],-5.622337172916655
[010011001],-8.414306325638037
[010011010],-5.459378969390374
[010011011],-7.336391218052448
[010011100],-4.657651951786667
[010011101],-6.225154316705846
[010011110],-4.887765163733857
[010011111],-6.783128839334534
[010100000],-2.115842313442519
[010100001],-7.678281753770271
[010100010],-5.849550954147392
[010100011],-7.6040116517385
[010100100],-3.2861269788811103
[010100101],-7.18489315252635
[010100110],-4.007505991333227
[010100111],-7.053639856279777
[010101000],-6.960892743921652
[010101001],-7.514507755038493
[010101010],-5.910953760535616
[010101011],-7.596393960880542
[010101100],-5.44217396573147
[010101101],-7.003105104033909
[010101110],-5.864946484395684
[010101111],-6.8730708191244165
[010110000],-3.2918143402544136
[010110001],-7.233918937058097
[010110010],-6.084146879358146
[010110011],-6.718214402028821
[010110100],-6.582831765205068
[010110101],-6.927818046142323
[010110110],-7.035831535485533
[010110111],-9.529989349030949
[010111000],-7.5753569657360025
[010111001],-8.172772559655044
[010111010],-7.170846161242196
[010111011],-7.988109956641312
[010111100],-7.268962762271868
[010111101],-7.387251180260735
[010111110],-7.161009120445681
[010111111],-7.450344381793886
[011000000],-2.1325447297992053
[011000001],-5.870419506227819
[011000010],-5.554770794409817
[011000011],-7.243825007340907
[011000100],-4.046796824115368
[011000101],-6.504621505037582
[011000110],-3.013796970711533
[011000111],-7.248812905943853
[011001000],-5.485289778377705
[011001001],-7.199954892022315
[011001010],-6.526535341570908
[011001011],-6.789352956056952
[011001100],-5.18618596447676
[011001101],-6.3267675731829005
[011001110],-4.859837890084313
[011001111],-6.699568407776422
[011010000],-1.8328225446430193
[011010001],-5.592569658799628
[011010010],-5.013886501729988
[011010011],-7.845476767285903
[011010100],-3.41902559630084
[011010101],-6.494752452636123
[011010110],-2.7788192575453623
[011010111],-7.8974244423972415
[011011000],-5.822875916145323
[011011001],-7.807257023535723
[011011010],-5.226958196532511
[011011011],-7.546554343345616
[011011100],-4.902898083994225
[011011101],-6.219685437574667
[011011110],-4.999045237565753
[011011111],-7.760994558893833
[011100000],-1.981042881799978
[011100001],-6.907781783175112
[011100010],-5.622337172916655
[011100011],-7.146947950519124
[011100100],-3.302532973340954
[011100101],-7.650408883452475
[011100110],-3.6552250624669727
[011100111],-7.5838736912565015
[011101000],-6.763684699885853
[011101001],-7.925759781703986
[011101010],-5.7223703427851245
[011101011],-7.254303381550993
[011101100],-6.009152317258758
[011101101],-8.043567675289175
[011101110],-5.950124897853611
[011101111],-7.358964809848163
[011110000],-3.17266688847545
[011110001],-7.6295008861539095
[011110010],-6.143248928406666
[011110011],-8.21004341031767
[011110100],-6.36063179345744
[011110101],-7.956131127409426
[011110110],-6.029462749036949
[011110111],-8.673669890672492
[011111000],-6.104709977274712
[011111001],-7.536080973845555
[011111010],-6.365198327373771
[011111011],-7.278214991523946
[011111100],-7.0744867254266115
[011111101],-8.661049790599671
[011111110],-6.854144890934276
[011111111],-9.121642237643051
[100000000],1.7690177571102979
[100000001],-5.906546601880157
[100000010],-0.8017755404658411
[100000011],-3.19340225214187
[100000100],-1.9768988501052953
[100000101],-3.465014583324451
[100000110],-3.5947253843098683
[100000111],-7.943065261100753
[100001000],-5.455374450000388
[100001001],-7.57762688061015
[100001010],-2.881000591135076
[100001011],-5.96225113928015
[100001100],-3.073122685201006
[100001101],-6.233030045968009
[100001110],-3.696912725443481
[100001111],-9.114288319683087
[100010000],1.4947017737159722
[100010001],-5.933092832592729
