genotype,s_r vs. LibA_pre
[000000000],0.0
[000000001],-1.01526996544173
[000000010],-0.9867876812190636
[000000011],-2.429082561293632
[000000100],0.16600709649230694
[000000101],-2.0780669847987028
[000000110],-0.2509765062255509
[000000111],-1.6230388328698548
[000001000],-3.9511356996330136
[000001001],-5.855888751633847
[000001010],-0.263251102257433
[000001011],0.42739745410765073
[000001100],-1.2670271674020117
[000001101],-1.8796096194692646
[000001110],-1.7550570575979276
[000001111],-2.936635413336071
[000010000],-0.18491171410619878
[000010001],-0.9642268166192625
[000010010],0.1694795722075485
[000010011],-1.0937424716946789
[000010100],-0.0731660252256715
[000010101],-1.2791023270896333
[000010110],-1.0224702081707555
[000010111],-2.284640988891181
[000011000],-4.48873151483366
[000011001],-5.315153337732646
[000011010],-0.6341305330098583
[000011011],-0.43498621763968776
[000011100],-0.36615562538586294
[000011101],-1.4858083790414551
[000011110],-0.6692604193170069
[000011111],-1.9227053965566583
[000100000],-0.4701927444215546
[000100001],-0.653920391791145
[000100010],-0.5119875908610912
[000100011],-1.367832903024419
[000100100],-0.1479688377956595
[000100101],-0.4882405247882387
[000100110],-1.9920322849155934
[000100111],-3.84421820172002
[000101000],-3.69295643854423
[000101001],-6.452006359771346
[000101010],-0.8472845865844463
[000101011],-0.029874381576038056
[000101100],-0.009289955864673072
[000101101],-1.9607687835861043
[000101110],-0.5460607271868926
[000101111],-1.3240571698650756
[000110000],-0.5763311336073424
[000110001],-0.800056871846144
[000110010],-0.15714427147338528
[000110011],-1.25529495709937
[000110100],-0.3577921434422259
[000110101],-0.5803525521535189
[000110110],-1.9450579706464306
[000110111],-4.031366120879859
[000111000],-4.624698466079103
[000111001],-6.053968003332032
[000111010],-0.7414002914832577
[000111011],0.1379192842229322
[000111100],-0.12367641381466143
[000111101],-2.4261220781773756
[000111110],-0.9653321517993924
[000111111],-1.9347405900838077
[001000000],0.7518273005968411
[001000001],0.5019267061042246
[001000010],1.0014998031327607
[001000011],-1.2831797957813411
[001000100],1.0460361551917323
[001000101],0.25752182941958635
[001000110],-0.4279691920249285
[001000111],-2.79611199118395
[001001000],-3.8836182382757194
[001001001],-5.362976454406573
[001001010],1.1664576985108845
[001001011],1.9138155413158242
[001001100],0.6654176420847399
[001001101],-0.24567023378957775
[001001110],-0.11837854725368024
[001001111],-0.6927552072814331
[001010000],0.2906089961665811
[001010001],-0.17591689424962198
[001010010],0.1342464292400939
[001010011],-2.486574048441563
[001010100],0.0659862311604189
[001010101],-0.5282795224434371
[001010110],-1.1636984532687078
[001010111],-3.299654585789796
[001011000],-6.057207408754553
[001011001],-6.454602560863002
[001011010],-0.08721370160155695
[001011011],0.436252771003239
[001011100],0.444368723833238
[001011101],0.28755203071398505
[001011110],-1.3151851201531275
[001011111],-2.2594675665842705
[001100000],-1.2462605427527413
[001100001],-2.661088814846609
[001100010],-2.9920612246214975
[001100011],-6.228824230489988
[001100100],-3.1147480103379257
[001100101],-3.4990862813786094
[001100110],-3.881230002754123
[001100111],-6.909679583204283
[001101000],nan
[001101001],nan
[001101010],-2.9785958060592703
[001101011],-2.5927300482746722
[001101100],-3.0553199542033944
[001101101],-4.529847085744143
[001101110],-3.518365641242198
[001101111],-5.963611498481236
[001110000],-4.124053516473558
[001110001],-7.38379344023877
[001110010],nan
[001110011],-7.606940850240138
[001110100],-4.587325958701527
[001110101],nan
[001110110],nan
[001110111],nan
[001111000],nan
[001111001],nan
[001111010],nan
[001111011],-7.114747762545964
[001111100],nan
[001111101],nan
[001111110],nan
[001111111],nan
[010000000],0.6292472620588007
[010000001],0.44688320482657085
[010000010],0.3167683485569194
[010000011],-2.086528076097265
[010000100],0.1977223002987244
[010000101],-0.6609654304932329
[010000110],-0.9798694336454995
[010000111],-3.2816465157011008
[010001000],-4.617537579518428
[010001001],-6.085323967529447
[010001010],0.32381674617801737
[010001011],0.8118875819070576
[010001100],0.08317892643941405
[010001101],-0.4847364027280631
[010001110],-0.8068796649288621
[010001111],-0.8224827019184894
[010010000],0.37566738359585317
[010010001],-0.042441254313588916
[010010010],0.40594499776091875
[010010011],-2.0490104201321455
[010010100],0.3706001153030535
[010010101],-0.3322360489080217
[010010110],-1.1059145153055636
[010010111],-3.158155489125196
[010011000],-4.544433638321613
[010011001],-5.85418994755009
[010011010],0.3196910326302783
[010011011],0.7953304983732276
[010011100],0.7595915870370978
[010011101],0.2612372155005479
[010011110],-1.0737846700238998
[010011111],-2.163547401021615
[010100000],-1.4150946590496845
[010100001],-2.827091340861406
[010100010],-3.339358089138281
[010100011],-5.736112092526521
[010100100],-3.183029853229686
[010100101],-4.246369661215972
[010100110],-4.040152411605211
[010100111],-5.791224183510963
[010101000],nan
[010101001],nan
[010101010],-3.1497114843829164
[010101011],-2.769936156668603
[010101100],-3.3118431718183574
[010101101],-4.398001755241739
[010101110],-4.846222720395109
[010101111],-7.645173253168897
[010110000],-4.536329405249905
[010110001],-6.283254773361474
[010110010],nan
[010110011],nan
[010110100],-5.6334739374225
[010110101],-7.006773299626858
[010110110],-6.269665208005461
[010110111],-7.669549134481365
[010111000],nan
[010111001],nan
[010111010],nan
[010111011],-6.303476617864488
[010111100],-5.402007866701091
[010111101],-7.599737826369793
[010111110],nan
[010111111],nan
[011000000],0.41197673586822636
[011000001],0.3806573694328238
[011000010],-0.08902780862149584
[011000011],-2.3968305019426372
[011000100],-0.01630732811867519
[011000101],-0.8769962583127887
[011000110],-0.937609752684302
[011000111],-3.445119762680147
[011001000],-3.057779686629569
[011001001],-6.431612285119646
[011001010],-0.038420361493725075
[011001011],0.4557034058145274
[011001100],-0.25174657647334464
[011001101],-0.5534216281946751
[011001110],-0.9521121952494668
[011001111],-0.9149415152705398
[011010000],0.41403509552276396
[011010001],-0.15479850678110285
[011010010],-0.1247862881156403
[011010011],-2.6217164457998274
[011010100],-0.38429227390251364
[011010101],-0.8328274773007394
[011010110],-1.2765207847859674
[011010111],-3.2333719433501646
[011011000],-5.055259262087604
[011011001],-6.164752015193209
[011011010],-0.1046686706644373
[011011011],0.37677355814640234
[011011100],0.06286205931395361
[011011101],0.02777845635751297
[011011110],-1.479607344029819
[011011111],-2.2597483994935215
[011100000],-1.3916221486801765
[011100001],-3.0134908588601186
[011100010],-3.208048488323334
[011100011],-4.83794684727232
[011100100],-2.896917338712828
[011100101],-4.015763031798537
[011100110],-4.122394976873537
[011100111],-7.663762215924035
[011101000],nan
[011101001],nan
[011101010],-3.544977711048438
[011101011],-2.9405116616770743
[011101100],-4.140006840308162
[011101101],-4.342979238019283
[011101110],-5.469464363402723
[011101111],-6.472839167289112
[011110000],-3.7157388366585296
[011110001],-6.455693171143077
[011110010],nan
[011110011],nan
[011110100],-4.310471095626944
[011110101],-7.699920480186804
[011110110],nan
[011110111],nan
[011111000],nan
[011111001],nan
[011111010],-5.415840499591203
[011111011],nan
[011111100],nan
[011111101],-6.388629786920729
[011111110],nan
[011111111],nan
[100000000],0.14626517592603128
[100000001],-0.2503805040971092
[100000010],0.08412394336501872
[100000011],-1.6739207952028352
[100000100],-0.23338662147344003
[100000101],-0.7090916340268827
[100000110],-0.6660289040729452
[100000111],-3.5445708679293455
[100001000],-5.055259262087604
[100001001],-7.790113526719208
[100001010],-0.36162185402610086
[100001011],0.5458923038412496
[100001100],-1.65960702673565
[100001101],-1.0575370404428373
[100001110],-1.1683697428017759
[100001111],-2.398134054843882
[100010000],0.06891798149078543
[100010001],-0.5301495337310318
[100010010],-0.027053324591312378
[100010011],-1.7350310645773104
[100010100],-0.7277932107832628
[100010101],-1.2238085000160397
[100010110],-1.1776489402541928
[100010111],-4.383757419969705
[100011000],-4.286917020227175
[100011001],-6.511410750515169
[100011010],-0.45889453610313663
[100011011],-1.1675035653622359
[100011100],-1.314091831275428
[100011101],-1.2050175777683994
[100011110],-0.9383510916384576
[100011111],-2.5973257831146896
[100100000],-0.021008943849181616
[100100001],-0.6536482034354547
[100100010],-0.40525697247595843
[100100011],-1.4211139948188474
[100100100],-0.7242018643648436
[100100101],-1.3501153667867216
[100100110],-1.3244153540396835
[100100111],-4.047023566362405
[100101000],-5.666141943164437
[100101001],-7.2727164673110325
[100101010],-0.3222338627913417
[100101011],-1.3538386767434538
[100101100],-1.1726631870266075
[100101101],-1.5830154831726804
[100101110],-1.0855286871642762
[100101111],-2.8457134871183056
[100110000],-0.23745835291964346
[100110001],-0.4927339657418365
[100110010],-0.5142784372113922
[100110011],-1.9607785961122883
[100110100],-0.8586002800721181
[100110101],-1.106108945698984
[100110110],-1.2492604783031167
[100110111],-4.145275182785027
[100111000],nan
[100111001],-6.203758008213268
[100111010],-0.16609948006121755
[100111011],-1.6734879994342058
[100111100],-1.3325082122819207
[100111101],-1.2837715804724719
[100111110],-1.1857884895669666
[100111111],-2.662868676367758
[101000000],0.9671644896386548
[101000001],0.756548032403095
[101000010],0.9201910918378965
[101000011],-1.7401157557511708
[101000100],0.8775245230054823
[101000101],0.5322862387991306
[101000110],-0.2837668122574669
[101000111],-3.144087090783398
[101001000],-4.704160077633219
[101001001],-6.190452500857007
[101001010],0.9824780552526152
[101001011],0.7014687250145158
[101001100],0.31700426789685954
[101001101],-0.12784628227725192
[101001110],-0.05775289864026256
[101001111],-1.4353739790541855
[101010000],0.06723267397344468
[101010001],-0.2176492072644336
[101010010],0.038140512961348794
[101010011],-2.3338902988302572
[101010100],0.44974965846430914
[101010101],0.12133554582096706
[101010110],-0.8665377849696024
[101010111],-4.423104837322819
[101011000],-5.178899311624789
[101011001],-6.223713290725628
[101011010],0.22131100992134278
[101011011],0.12457585353664524
[101011100],-0.4677057421169258
[101011101],-0.6503104870594213
[101011110],-0.951268768242542
[101011111],-2.485704427678456
[101100000],-2.0385749669077526
[101100001],-2.9276826685844792
[101100010],-2.4393371744342414
[101100011],-4.771140553244777
[101100100],-0.8783178990421725
[101100101],-2.466680520931715
[101100110],-3.657957264887888
[101100111],-6.269694600319372
[101101000],nan
[101101001],nan
[101101010],-2.4972782744014146
[101101011],-1.9434449771470814
[101101100],-2.7046530122289387
[101101101],-2.920742584094017
[101101110],-3.530275681050621
[101101111],-4.933709552047207
[101110000],nan
[101110001],-6.127183681192252
[101110010],-5.100299132560194
[101110011],-6.3628568676271
[101110100],-2.955907721218111
[101110101],-4.938331704996737
[101110110],nan
[101110111],nan
[101111000],nan
[101111001],nan
[101111010],-4.875521651993899
[101111011],-4.49139021869443
[101111100],-4.704160077633219
[101111101],-6.929064883554006
[101111110],-5.442944644302445
[101111111],nan
[110000000],0.49953475304452477
[110000001],0.20048847253816293
[110000010],0.06266639935875984
[110000011],-2.0884652853954284
[110000100],0.7388553453795023
[110000101],0.5201110156202976
[110000110],-0.7010590908273981
[110000111],-3.368308187574316
[110001000],-5.592091849754762
[110001001],-5.425817299130769
[110001010],0.3085785651424283
[110001011],0.049380493493376365
[110001100],-0.6203987984292232
[110001101],-0.8317415043126639
[110001110],-0.7109821338635811
[110001111],-1.8695374622953227
[110010000],0.6442055315344849
[110010001],0.0879709554178999
[110010010],0.22693207236584778
[110010011],-2.1871899913382085
[110010100],0.569013789862144
[110010101],0.21995518524890934
[110010110],-0.6568681220930237
[110010111],-3.3326756847483425
[110011000],-4.776317182842778
[110011001],nan
[110011010],0.5889027910236063
[110011011],0.3525641029826111
[110011100],0.24509384591302952
[110011101],-0.2087184499995679
[110011110],-0.451473430186434
[110011111],-2.0915529389136727
[110100000],-2.478227894455334
[110100001],-3.299693279087904
